iframe test results
--- http://www.rtcc.org: OK
--- http://www.rttnews.com: OK
--- http://www.rushlimbaugh.com: OK
--- http://www.rutlandherald.com: OK
--- http://www.sacbee.com: OK
--- http://www.salemnews.com: OK
--- http://www.santacruzsentinel.com: OK
--- http://www.sbs.com.au: OK
--- http://www.sbsun.com: OK
--- http://www.science20.com: OK
--- http://www.sciencealert.com.au: OK
--- http://www.sciencecodex.com: OK
--- http://www.sciencedaily.com: OK
--- http://www.sciencenews.org: OK
--- http://www.sciencerecorder.com: OK
--- http://www.scienceworldreport.com: OK
--- http://www.scmp.com: OK
--- http://www.scoop.co.nz: OK
--- http://www.scotsman.com: OK
--- http://www.scpr.org: OK
--- http://www.scsun-news.com: OK
--- http://www.sctimes.com: OK
--- http://www.seacoastonline.com: OK
--- http://www.sfgate.com: OK
--- http://www.sgvtribune.com: OK
--- http://www.shanghaidaily.com: OK
--- http://www.shortnews.com: FRAMEBUSTER
--- http://www.silive.com: OK
--- http://www.sitnews.us: OK
--- http://www.sj-r.com: OK
--- http://www.skynews.com.au: OK
--- http://www.sltrib.com: OK
--- http://www.smartplanet.com: OK
--- http://www.smh.com.au: OK
--- http://www.somdnews.com: OK
--- http://www.sootoday.com: OK
--- http://www.southcoasttoday.com: OK
--- http://www.space.com: OK
--- http://www.spacedaily.com: OK
--- http://www.spectator.co.uk: OK
--- http://www.spencerdailyreporter.com: OK
--- http://www.spiegel.de: OK
--- http://www.spiked-online.com: OK
--- http://www.spokesman.com: OK
--- http://www.spyghana.com: OK
--- http://www.stamfordadvocate.com: OK
--- http://www.standard.net: OK
--- http://www.stanforddaily.com: OK
--- http://www.staradvertiser.com: OK
--- http://www.startribune.com: OK
--- http://www.state.gov: OK
--- http://www.statesman.com: OK
--- http://www.stltoday.com: OK
--- http://www.stockhouse.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.stoptheaclu.com: OK
--- http://www.straight.com: OK
--- http://www.streetinsider.com: OK
--- http://www.stuff.co.nz: OK
--- http://www.summitdaily.com: OK
--- http://www.sundayobserver.lk: OK
--- http://www.sunherald.com: OK
--- http://www.sunjournal.com: OK
--- http://www.sunlive.co.nz: OK
--- http://www.sunnewsnetwork.ca: OK
--- http://www.sun-sentinel.com: OK
--- http://www.swissinfo.ch: OK
--- http://www.syracuse.com: OK
--- http://www.taipeitimes.com: OK
--- http://www.tallahassee.com: OK
--- http://www.tampabay.com: OK
--- http://www.tauntongazette.com: OK
--- http://www.tcdailyplanet.net: OK
--- http://www.tcpalm.com: OK
--- http://www.technologyreview.com: OK
--- http://www.teenink.com: OK
--- http://www.telegram.com: OK
--- http://www.tennessean.com: OK
--- http://www.terradaily.com: OK
--- http://www.tgdaily.com: OK
--- http://www.theage.com.au: OK
--- http://www.theargus.co.uk: OK
--- http://www.theatlanticcities.com: OK
--- http://www.theatlantic.com: OK
--- http://www.theatlanticwire.com: OK
--- http://www.theaustralian.com.au: OK
--- http://www.theblaze.com: FRAMEBUSTER
--- http://www.theboltonnews.co.uk: OK
--- http://www.thecommentator.com: OK
--- http://www.thedailybeast.com: OK
--- http://www.thedailystar.net: OK
--- http://www.theecologist.org: OK
--- http://www.theenergycollective.com: OK
--- http://www.theepochtimes.com: OK
--- http://www.thefrontierpost.com: OK
--- http://www.theguardian.com: OK
--- http://www.theherald.com.au: X-FRAME-OPTIONS DENY
--- http://www.thehimalayantimes.com: FRAMEBUSTER
--- http://www.thehindubusinessline.com: OK
--- http://www.thehindu.com: OK
--- http://www.theinformationdaily.com: OK
--- http://www.theinternational.org: OK
--- http://www.thejakartaglobe.com: OK
--- http://www.thejakartapost.com: OK
--- http://www.thejournal.ie: OK
--- http://www.theledger.com: OK
--- http://www.themercury.com.au: OK
--- http://www.thenational.ae: OK
--- http://www.thenation.com: OK
--- http://www.thenewamerican.com: OK
--- http://www.thenews.com.pk: OK
--- http://www.thenewstribune.com: OK
--- http://www.theoaklandpress.com: OK
--- http://www.theolympian.com: OK
--- http://www.theprovince.com: OK
--- http://www.theregister.co.uk: OK
--- http://www.thereporter.com: OK
--- http://www.thereporteronline.com: OK
--- http://www.therepublic.com: OK
--- http://www.thespec.com: OK
--- http://www.thestar.com: OK
--- http://www.thestarpress.com: OK
--- http://www.thestate.com: OK
--- http://www.thetimes.co.uk: OK
--- http://www.theverge.com: OK
--- http://www.thewhig.com: OK
--- http://www.theworld.org: OK
--- http://www.thisdaylive.com: OK
--- http://www.thisiscornwall.co.uk: OK
--- http://www.thisisplymouth.co.uk: OK
--- http://www.thisissomerset.co.uk: OK
--- http://www.time.com: OK
--- http://www.timesargus.com: OK
--- http://www.timescolonist.com: OK
--- http://www.timesdispatch.com: OK
--- http://www.timesofmalta.com: OK
--- http://www.timesunion.com: OK
--- http://www.tmcnet.com: OK
--- http://www.tmnews.com: OK
--- http://www.todayonline.com: OK
--- http://www.toledoblade.com: OK
--- http://www.treehugger.com: OK
--- http://www.triplepundit.com: OK
--- http://www.troymedia.com: OK
--- http://www.trust.org: OK
--- http://www.truthdig.com: OK
--- http://www.twincities.com: OK
--- http://www.udel.edu: OK
--- http://www.ukprogressive.co.uk: OK
--- http://www.undp.org: OK
--- http://www.unionleader.com: OK
--- http://www.universityworldnews.com: X-FRAME-OPTIONS DENY
--- http://www.unog.ch: OK
--- http://www.upi.com: OK
--- http://www.uq.edu.au: OK
--- http://www.usatoday.com: OK
--- http://www.usnews.com: OK
--- http://www.uswitch.com: OK
--- http://www.utilityproducts.com: OK
--- http://www.utsandiego.com: OK
--- http://www.vancouverobserver.com: OK
--- http://www.vancouversun.com: OK
--- http://www.vcstar.com: OK
--- http://www.vicnews.com: OK
--- http://www.vision.org: OK
--- http://www.vnews.com: OK
--- http://www.voanews.com: OK
--- http://www.walesonline.co.uk: OK
--- http://www.wane.com: OK
--- http://www.washingtonpost.com: OK
--- http://www.washingtontimes.com: OK
--- http://www.watoday.com.au: OK
--- http://www.wbur.org: OK
--- http://www.weather.com: OK
--- http://www.westerntelegraph.co.uk: OK
--- http://www.whitehouse.gov: OK
--- http://www.whittierdailynews.com: OK
--- http://www.wickedlocal.com: OK
--- http://www.windsorstar.com: OK
--- http://www.winnipegfreepress.com: OK
--- http://www.wired.com: OK
--- http://www.wired.co.uk: OK
--- http://www.wjla.com: OK
--- http://www.wnd.com: OK
--- http://www.worldbank.org: FRAMEBUSTER
--- http://www.wral.com: OK
--- http://www.wsbradio.com: OK
--- http://www.wsbtv.com: OK
--- http://www.wsws.org: OK
--- http://www.wtop.com: OK
--- http://www.wtsp.com: OK
--- http://www.wunderground.com: OK
--- http://www.wvgazette.com: OK
--- http://www.yakimaherald.com: OK
--- http://www.yaledailynews.com: OK
--- http://www.ydr.com: OK
--- http://www.yorkshirepost.co.uk: OK
--- http://www.yourhoustonnews.com: OK
--- http://www.youtube.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://www.zawya.com: OK
--- http://www.zmescience.com: FRAMEBUSTER
--- http://xfinity.comcast.net: OK
--- http://za.news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://zeenews.india.com: OK
