iframe test results
--- http://news.malaysia.msn.com: OK
--- http://news.medill.northwestern.edu: OK
--- http://news.mongabay.com: OK
--- http://news.msn.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://news.nationalgeographic.com: OK
--- http://news.nationalpost.com: OK
--- http://news.ph.msn.com: OK
--- http://news.pia.gov.ph: OK
--- http://news.rediff.com: OK
--- http://news.sciencemag.org: OK
--- http://news.sky.com: OK
--- http://news.smashits.com: OK
--- http://news.softpedia.com: FRAMEBUSTER
--- http://news.stanford.edu: OK
--- http://news.stv.tv: OK
--- http://news.sudanvisiondaily.com: OK
--- http://news.thomasnet.com: OK
--- http://news.uk.msn.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://news.webindia123.com: OK
--- http://newswise.com: OK
--- http://news.xinhuanet.com: OK
--- http://news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://newyork.cbslocal.com: FRAMEBUSTER
--- http://njtoday.net: OK
--- http://normantranscript.com: OK
--- http://nsf.gov: OK
--- http://nvonews.com: OK
--- http://nz.news.yahoo.com: OK
--- http://o.canada.com: OK
--- http://oilprice.com: OK
--- http://one.trust.org: OK
--- http://onlineathens.com: OK
--- http://online.wsj.com: OK
--- http://onpoint.wbur.org: OK
--- http://open.salon.com: OK
--- http://opinion.financialpost.com: OK
--- http://orangeleader.com: OK
--- http://ordinary-gentlemen.com: OK
--- http://origin-www.livemint.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://patriotpost.us: OK
--- http://personalliberty.com: OK
--- http://ph.news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://phys.org: OK
--- http://planetearth.nerc.ac.uk: OK
--- http://planetsave.com: OK
--- http://pressrepublican.com: OK
--- http://pr-usa.net: OK
--- http://qz.com: OK
--- http://rabble.ca: OK
--- http://rdmag.com: OK
--- http://reason.com: OK
--- http://record-eagle.com: OK
--- http://reliefweb.int: OK
--- http://reneweconomy.com.au: OK
--- http://rt.com: OK
--- http://sandiegofreepress.org: OK
--- http://santamariatimes.com: OK
--- http://scholarsandrogues.com: OK
--- http://scienceblog.com: OK
--- http://scienceblogs.com: OK
--- http://sciencedude.ocregister.com: OK
--- http://science.kqed.org: OK
--- http://science.nbcnews.com: OK
--- http://science.opposingviews.com: OK
--- http://science.time.com: OK
--- http://seattletimes.com: OK
--- http://seekingalpha.com: OK
--- http://sg.news.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://shine.yahoo.com: X-FRAME-OPTIONS SAMEORIGIN
--- http://slatest.slate.com: OK
--- http://smart-grid.tmcnet.com: OK
--- http://socialistworker.org: OK
--- http://spaceref.com: OK
--- http://spectator.org: OK
--- http://stateimpact.npr.org: OK
--- http://summitcountyvoice.com: OK
--- http://switchboard.nrdc.org: OK
--- http://tbo.com: OK
--- http://tdn.com: OK
--- http://tech.fortune.cnn.com: OK
--- http://theadvocate.com: OK
--- http://thechronicleherald.ca: OK
--- http://theconversation.com: OK
--- http://thediplomat.com: OK
--- http://theenergycollective.com: OK
--- http://thegazette.com: OK
--- http://thehill.com: OK
--- http://therealnews.com: OK
--- http://the-scientist.com: OK
--- http://thetyee.ca: OK
--- http://theweek.com: OK
--- http://thinkprogress.org: OK
--- http://timesofindia.indiatimes.com: OK
--- http://timeswv.com: OK
--- http://today.msnbc.msn.com: OK
--- http://topnews.net.nz: OK
--- http://topnews.us: OK
--- http://townhall.com: OK
--- http://trib.com: OK
--- http://triblive.com: FRAMEBUSTER
--- http://tribune.com.pk: OK
